master_id;order_channel;last_order_channel;first_order_date;last_order_date;last_order_date_online;last_order_date_offline;order_num_total_ever_online;order_num_total_ever_offline;customer_value_total_ever_offline;customer_value_total_ever_online
cc294636-19f0-11eb-8d74-000d3a38a36f;Android App;Offline;30/10/2020;26/02/2021;21/02/2021;26/02/2021;4;1;139.99;799.38
f431bd5a-ab7b-11e9-a2fc-000d3a38a36f;Android App;Mobile;08/02/2017;16/02/2021;16/02/2021;10/01/2020;19;2;159.97;1853.58
69b69676-1a40-11ea-941b-000d3a38a36f;Android App;Android App;27/11/2019;27/11/2020;27/11/2020;01/12/2019;3;2;189.97;395.35
1854e56c-491f-11eb-806e-000d3a38a36f;Android App;Android App;06/01/2021;17/01/2021;17/01/2021;06/01/2021;1;1;39.99;81.98
d6ea1074-f1f5-11e9-9346-000d3a38a36f;Desktop;Desktop;03/08/2019;07/03/2021;07/03/2021;03/08/2019;1;1;49.99;159.99
e585280e-aae1-11e9-a2fc-000d3a38a36f;Desktop;Offline;18/11/2018;13/03/2021;18/11/2018;13/03/2021;1;2;150.87;49.99
c445e4ee-6242-11ea-9d1a-000d3a38a36f;Android App;Android App;04/03/2020;18/10/2020;18/10/2020;04/03/2020;3;1;59.99;315.94
3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f;Mobile;Offline;15/05/2020;12/08/2020;15/05/2020;12/08/2020;1;1;49.99;113.64
cfbda69e-5b4f-11ea-aca7-000d3a38a36f;Android App;Android App;23/01/2020;07/03/2021;07/03/2021;25/01/2020;3;2;120.48;934.21
1143f032-440d-11ea-8b43-000d3a38a36f;Mobile;Mobile;30/07/2019;04/10/2020;04/10/2020;30/07/2019;1;1;69.98;95.98
ae608ece-c9d8-11ea-a31e-000d3a38a36f;Ios App;Offline;19/07/2020;25/07/2020;19/07/2020;25/07/2020;1;1;74.99;39.99
c2e15af2-9eed-11e9-9897-000d3a38a36f;Android App;Android App;05/07/2015;19/05/2021;19/05/2021;10/07/2020;19;1;90.49;2771.11
2854f11a-0185-11ea-a5e8-000d3a38a36f;Mobile;Offline;07/11/2019;14/04/2021;02/11/2020;14/04/2021;2;2;179.98;132.47
ec6c382a-3e97-11ea-a823-000d3a38a36f;Android App;Android App;14/07/2019;05/01/2021;05/01/2021;20/09/2019;1;3;457.8;99.99
241f0ad0-afb5-11e9-9757-000d3a38a36f;Ios App;Ios App;28/12/2018;30/05/2021;30/05/2021;20/10/2019;23;1;139;4274.29
13ed97a4-b167-11e9-89fa-000d3a38a36f;Mobile;Desktop;13/06/2019;17/08/2020;17/08/2020;28/07/2020;7;1;112.97;819.39
d9b77226-a509-11e9-a2fc-000d3a38a36f;Mobile;Offline;03/02/2019;11/11/2020;03/02/2019;11/11/2020;1;4;400.45;94.8
efb82ba4-aaba-11e9-a2fc-000d3a38a36f;Ios App;Ios App;10/07/2019;20/01/2021;20/01/2021;10/07/2019;2;2;428.97;459.89
1ee5ae66-7237-11eb-aa44-000d3a38a36f;Android App;Android App;17/02/2021;11/04/2021;11/04/2021;17/02/2021;1;1;59.99;207.13
2730793e-3908-11ea-85d6-000d3a38a36f;Mobile;Mobile;29/07/2019;19/06/2020;19/06/2020;29/07/2019;1;1;34.99;279.99
4da5c2ba-403b-11ea-aa6b-000d3a38a36f;Android App;Android App;05/09/2019;24/01/2021;24/01/2021;05/09/2019;1;1;49.98;59.99
7b289956-d691-11e9-93bc-000d3a38a36f;Android App;Offline;28/08/2019;26/11/2020;17/05/2020;26/11/2020;1;2;495.69;234.98
1a9b39d8-40ac-11ea-9be8-000d3a38a36f;Android App;Android App;17/11/2019;31/05/2020;31/05/2020;17/11/2019;1;1;119.98;99.99
4fbb0cbe-9085-11ea-af25-000d3a38a36f;Android App;Offline;11/05/2020;29/01/2021;11/05/2020;29/01/2021;1;1;172.97;69.48
d1fabf76-7171-11eb-a3e2-000d3a38a36f;Desktop;Desktop;15/02/2021;03/05/2021;03/05/2021;15/02/2021;1;3;839.97;266.59
6ff327d4-b0e1-11e9-9757-000d3a38a36f;Android App;Offline;04/02/2020;19/01/2021;23/10/2020;19/01/2021;1;2;243.46;103.99
7e7732ae-2d78-11eb-8062-000d3a299ebf;Mobile;Offline;23/11/2020;06/04/2021;23/11/2020;06/04/2021;1;1;303.94;228.37
c1f8f878-9f35-11e9-9897-000d3a38a36f;Mobile;Offline;03/06/2013;01/03/2021;02/07/2019;01/03/2021;3;1;40.87;90
5e1830d8-9e24-11e9-9897-000d3a38a36f;Ios App;Ios App;19/11/2020;08/01/2021;08/01/2021;19/11/2020;2;1;180.49;287.98
a46cc34a-a19f-11e9-a2fc-000d3a38a36f;Ios App;Ios App;24/02/2019;29/11/2020;29/11/2020;24/02/2019;1;1;49.99;125.99
1618f596-130a-11ea-a001-000d3a38a36f;Android App;Android App;02/03/2019;11/04/2021;11/04/2021;16/03/2019;2;3;399.95;432.87
